header,description,link_title,link_url,link_target,time
"REROUTES AHEAD","Dec. 2 | Holiday Hop","LEARN MORE",https://www.cota.com/reroutes/cota-reroutes-holiday-hop-231202.pdf,,1701478747
"REROUTES AHEAD","Dec. 12 | Columbus Crew Parade","LEARN MORE",https://www.cota.com/reroutes/cota-reroutes-crew-parade-231212.pdf,,1701478748
"REROUTES AHEAD","Feb. 11 | 5th Line 5K","LEARN MORE",https://www.cota.com/reroutes/cota-reroutes-5th-line-5k-240211.pdf,,1707752314
"REROUTES AHEAD","March 9 | Dublin St. Patrick's Day Parade","LEARN MORE",https://www.cota.com/reroutes/cota-reroutes-dublin-st-patricks-parade-240309.pdf,,1710184452
"REROUTES AHEAD","March 17 | Shamrock Parade","LEARN MORE",https://www.cota.com/reroutes/cota-reroutes-shamrock-parade-240317.pdf,,1710505392
"REROUTES AHEAD","April 13-14 | Ohio State Spring Game & 4 Miler","LEARN MORE",https://author.cota.com/wp-content/uploads/2024/04/cota-reroutes-osu-game-day-4-miler-240413.pdf,,1712924647
"REROUTES AHEAD","APRIL 26-27 | CAP CITY HALF MARATHON","LEARN MORE",https://www.cota.com/reroutes/cota-reroutes-cap-city-half-marathon-240426.pdf,,1713961746
"REROUTES AHEAD","MAY 4 | ON OUR SLEEVES 5K","LEARN MORE",https://www.cota.com/reroutes/cota-reroute-on-our-sleeves-5k-240504.pdf,,1714825360
"REROUTES AHEAD","MAY 18-19 | SUSAN G. KOMEN RACE FOR THE CURE & GIRLS ON THE RUN 5K","LEARN MORE",https://www.cota.com/reroutes/cota-reroutes-komen-girls-run-240518.pdf,,1715776067
"REROUTES AHEAD","MAY 18-19 | SUSAN G. KOMEN RACE FOR THE CURE & GIRLS ON THE RUN 5K","LEARN MORE",https://www.cota.com/blog/major-reroutes-and-delays-expected-for-susan-g-komen-race-for-the-cure-and-girls-on-the-run-5k-this-weekend/,,1715948724
"REROUTES AHEAD","JUNE 1-2 | BRAIN TUMOR 5K & COLUMBUS 10K","LEARN MORE",https://www.cota.com/reroutes/,,1717092160
"REROUTES AHEAD","JUNE 1-2 | BRAIN TUMOR 5K, HOPS ON HIGH & COLUMBUS 10K","LEARN MORE",https://www.cota.com/reroutes/,,1717208915
"REROUTES AHEAD","JUNE 5-9 | COLUMBUS ARTS FEST, HEALTHTREE MOVES FOR MYELOMA 5K AND 1M AND THE AVENUE FOR ALL FESTIVAL ","LEARN MORE",https://www.cota.com/reroutes,,1717554369
"REROUTES AHEAD","JUNE 15 | STONEWALL COLUMBUS PRIDE MARCH AND FESTIVAL AND PLAYSTREETS ON WHITTIER","LEARN MORE",https://www.cota.com/reroutes/,,1718159299
"REROUTES AHEAD","JUNE 29 | FREEDOM 5K","LEARN MORE",https://www.cota.com/reroutes/,,1719455252
"REROUTES AHEAD","JULY 4 | INDEPENDENCE DAY CELEBRATIONS","LEARN MORE",https://www.cota.com/reroutes/,,1720015799
"REROUTES AHEAD","JULY 13 | DASH FOR DONATION","LEARN MORE",https://www.cota.com/reroutes/,,1720837673
"REROUTES AHEAD","JULY 19-21 | JAZZ & RIB FEST","LEARN MORE",https://www.cota.com/reroutes/,,1721311762
"REROUTES AHEAD","Pelotonia 2024","LEARN MORE",https://www.cota.com/reroutes/,,1722479729
"REROUTES AHEAD","2024 AA Wellness Day","LEARN MORE",https://www.cota.com/reroutes/,,1722866971
"REROUTES AHEAD","AUG. 10 | AFRICAN AMERICAN MALE WELLNESS WALK ","LEARN MORE",https://www.cota.com/reroutes/,,1723170764
"REROUTES AHEAD","Aug. 17 | 100 Mothers March & Heart Walk","LEARN MORE",https://www.cota.com/reroutes/,,1723602735
"REROUTES AHEAD","AUG. 31 | OSU HOME GAME","LEARN MORE",https://www.cota.com/reroutes/,,1725071767
"REROUTES AHEAD","SEPT. 7 | HOPS ON HIGH & OSU HOME GAME","LEARN MORE",https://www.cota.com/reroutes/,,1725631773
